Title,MRP(Rs.),Savings(%),Price(Rs.),Brand,Model,Capacity,Annual Energy Consumption,Date,Link
LG 1.0 Ton 5 Star DUAL Inverter Wi-Fi Window AC,75990.0,57%,32299.0,LG,PW-Q12WUZA,1 Tons,672.46 kWh,18-04-2023,https://amazon.in/LG-Inverter-Convertible-cooling-PW-Q12WUZA/dp/B09PZ33S3X/ref=sr_1_14?qid=1681800303&s=kitchen&sr=1-14
Carrier 1 Ton 3 Star AI Flexicool Inverter Split AC,58190.0,47%,30990.0,Carrier,CAI12ER3R33F0,1 Tons,704.46 kWh,18-04-2023,https://amazon.in/Carrier-Flexicool-Inverter-Convertible-Filtration/dp/B0BR58HRD2/ref=sr_1_15?qid=1681800303&s=kitchen&sr=1-15
"Voltas 1.5 Ton 5 Star, Inverter Split AC",75990.0,46%,40990.0,Voltas,185V Vectra Elite,1.5 Tons,1788.5 kWh,18-04-2023,https://amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFSZNCT/ref=sr_1_16?qid=1681800303&s=kitchen&sr=1-16
"Whirlpool 1.5 Ton 5 Star, Flexicool Inverter Split AC",70600.0,46%,37990.0,Whirlpool,S3I3AD0,1.5 Tons,761.33 kWh,18-04-2023,https://amazon.in/Whirlpool-Flexicool-Inverter-Convertible-S3I3AD0/dp/B0BR5S1PDX/ref=sr_1_17?qid=1681800303&s=kitchen&sr=1-17
Lloyd 1.5 Ton 3 Star Fixed Speed Window AC,47990.0,44%,27100.0,Lloyd,GLW18C3YWSEW,1.5 Tons,1180.51 kWh,18-04-2023,https://amazon.in/Lloyd-Window-Copper-Silver-GLW18C3YWSEW/dp/B0BRKXY81Z/ref=sr_1_18?qid=1681800303&s=kitchen&sr=1-18
"Godrej 1 Ton 3 Star, 5-In-1 Convertible Cooling, Inverter Split AC",42900.0,31%,29490.0,Godrej,AC 1T EI 12TINV3R32-GWA Split,1 Tons,694.03 kWh,18-04-2023,https://amazon.in/Godrej-Convertible-Split-AC-12TINV3R32-GWA/dp/B0BN37ZCF7/ref=sr_1_19?qid=1681800303&s=kitchen&sr=1-19
"Godrej 1.5 Ton 3 Star, 5-In-1 Convertible, Inverter Split AC",46900.0,31%,32490.0,Godrej,AC 1.5T EI 18TINV3R32-GWA,1.5 Tons,980.37 kWh,18-04-2023,https://amazon.in/Godrej-Convertible-1-5T-18TINV3R32-GWA-18TINV3R32-GWB/dp/B0BN37L5KM/ref=sr_1_20?qid=1681800303&s=kitchen&sr=1-20
Blue Star 1.5 Ton 5 Star Convertible 5 in 1 Cooling Inverter Split AC,73000.0,40%,43990.0,Blue Star,IC518YNU,1.5 Tons,770.98 kWh,18-04-2023,https://amazon.in/Blue-Star-Convertible-Stabalizer-IC518YNU/dp/B0BT117FDS/ref=sr_1_21?qid=1681800303&s=kitchen&sr=1-21
Samsung 1.5 Ton 3 Star Inverter Split AC,60990.0,42%,35499.0,Samsung,AR18CYLZABE,1.5 Tons,1 kWh,18-04-2023,https://amazon.in/Samsung-Inverter-Convertible-Anti-Bacteria-AR18CYLZABE/dp/B0BRQCYQHK/ref=sr_1_22?qid=1681800303&s=kitchen&sr=1-22
LG 1 Ton 5 Star Ai Dual Inverter Split Ac,65990.0,39%,40490.0,LG,RS-Q14YNZE,1 Tons,521.2 kWh,18-04-2023,https://amazon.in/LG-Convertible-Anti-Virus-Protection-Rs-Q14Ynze/dp/B0BPYL1R9N/ref=sr_1_23?qid=1681800303&s=kitchen&sr=1-23
