Title,MRP(Rs.),Savings(%),Price(Rs.),Brand,Model,Capacity,Annual Energy Consumption,Date,Link
Blue Star 1.5 Ton 5 Star Inverter Window AC,54990,24%,41890,Blue Star,WIB518LN,1.5 Tons,1082.57 Kilowatt Hours,18-04-2023,https://amazon.in/Blue-Star-Compressor-Technology-WIB518LN/dp/B0BDMPD3JP/ref=sr_1_96?qid=1681801356&s=kitchen&sr=1-96
Samsung 2 Ton 3 Star Wi-fi Enabled Inverter Split AC,83990,36%,53490,Samsung,AR24CYLZABE,2 Tons,1 Kilowatt Hours,18-04-2023,https://amazon.in/Samsung-Inverter-Convertible-Anti-bacterial-AR24CYLZABE/dp/B0BRQD4L93/ref=sr_1_97?qid=1681801356&s=kitchen&sr=1-97
ONIDA 1 Ton 3 Star Inverter Split AC,40900,24%,30990,Onida,IR123DAS,1 Tons,696.69 Kilowatts,18-04-2023,https://amazon.in/ONIDA-Inverter-Copper-Filter-IR123DAS/dp/B0BQWYKD3P/ref=sr_1_98?qid=1681801356&s=kitchen&sr=1-98
ONIDA 1 Ton 3 Star Inverter Split AC,40900,24%,30990,Onida,IR123DAS,1 Tons,696.69 Kilowatts,18-04-2023,https://amazon.in/ONIDA-Inverter-Copper-Filter-IR123DAS/dp/B0BQWYKD3P/ref=sr_1_99?qid=1681801699&s=kitchen&sr=1-99
Godrej 1 Ton 3 Star Inverter Split AC,,,,Godrej,40101701SD00881,1 Tons,752.51 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Godrej-Inverter-Copper-Anti-bacterial-12TTC3-WUA/dp/B092DKYDW2/ref=sr_1_100?qid=1681801699&s=kitchen&sr=1-100
Panasonic 1.5 Ton 3 Star Twin-Cool Inverter Split Air Conditioner,37490,5%,35490,Panasonic,CS/CU-RU18XKYTA,1.5 Tons,1002.72 Kilowatt Hours,18-04-2023,https://amazon.in/Panasonic-Conditioner-Convertible-Anti-Corrosion-CU-RU18XKYTA/dp/B09R4G1ZNJ/ref=sr_1_101?qid=1681801699&s=kitchen&sr=1-101
LG 1.5 Ton 3 Star DUAL Inverter Split AC,64990,40%,38990,LG,PS-Q18RNXA1,1.5 Tons,852.44 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/LG-Convertible-Anti-Virus-Protection-PS-Q18RNXA1/dp/B0BD5GC76Y/ref=sr_1_102?qid=1681801699&s=kitchen&sr=1-102
Voltas 1.4 Ton 5 Star Inverter Adjustable Split AC,79999,48%,41980,Voltas,175V ADJ,1.4 Tons,830.48 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Voltas-Inverter-Adjustable-175V-ADJ/dp/B08TB54NGQ/ref=sr_1_103?qid=1681801699&s=kitchen&sr=1-103
Voltas 1.5 Ton 5 Star Inverter Split AC,71990,38%,44880,,,,,18-04-2023,https://amazon.in/Voltas-Inverter-Copper-185V-CAZAF/dp/B0B2P5XXPN/ref=sr_1_104?qid=1681801699&s=kitchen&sr=1-104
"𝐀𝐈𝐑 𝐂𝐎𝐍𝐃𝐈𝐓𝐈𝐎𝐍𝐄𝐑 Portable Air Conditioner, Effective Cooling & Low Noise USB Charge Air Conditioner Fan with 3 Speeds 7 Colors for Home, Office and Room",22399,50%,11192,,,,,18-04-2023,https://amazon.in/%F0%9D%90%82%F0%9D%90%8E%F0%9D%90%8D%F0%9D%90%83%F0%9D%90%88%F0%9D%90%93%F0%9D%90%88%F0%9D%90%8E%F0%9D%90%8D%F0%9D%90%84%F0%9D%90%91-Portable-Conditioner-Effective-Cooling/dp/B0922NWKBV/ref=sr_1_105?qid=1681801699&s=kitchen&sr=1-105
